Direction,coded_direction,IWZ,Latitude,Longitude,Name,SegmentLength,Group,Group_new,ID,Linear-Reference,order,ProjectName,Portable,APS,Device,GID
EB,1,0,41.232918,-95.828351,CBDS 20 EB,0.7,j,Group 5 - 4.1 - I80,36,4.48,11,Project 4.1 - I-80,0,0,Sensor,56848
WB,2,0,41.232918,-95.828351,CBDS 20 WB,1.15,j,Group 5 - 4.1 - I80,37,4.48,9,Project 4.1 - I-80,0,0,Sensor,56848
EB,1,0,41.238644,-95.825206,CBDS 21 EB,0.635,j,Group 5 - 4.1 - I80,39,4.9,12,Project 4.1 - I-80,0,0,Sensor,56848
EB,1,0,41.246633,-95.81485,CBDS 22 EB,1.305,j,Group 5 - 4.1 - I80,41,5.75,13,Project 4.1 - I-80,0,0,Sensor,57509
WB,2,0,41.246633,-95.81485,CBDS 22 WB,1.515,j,Group 5 - 4.1 - I80,42,5.75,10,Project 4.1 - I-80,0,0,Sensor,57509
EB,1,0,41.268267,-95.794767,CBDS 24 EB,1.525,j,Group 5 - 4.1 - I80,45,7.51,14,Project 4.1 - I-80,0,0,Sensor,58831
WB,2,0,41.268267,-95.794767,CBDS 24 WB,1.525,j,Group 5 - 4.1 - I80,46,7.51,11,Project 4.1 - I-80,0,0,Sensor,58831
EB,1,0,41.283183,-95.782867,CBDS 25 EB,0.645,j,Group 5 - 4.1 - I80,47,8.8,15,Project 4.1 - I-80,0,0,Sensor,60152
WB,2,0,41.283183,-95.782867,CBDS 25 WB,0.645,j,Group 5 - 4.1 - I80,48,8.8,12,Project 4.1 - I-80,0,0,Sensor,60152
NB,1,0,41.31748,-93.77894,IWZ3073 - I-35 NB @ MM 53.63,1.96,5b,Group 5b and 5.4,1,53.63,1,Project 5b/5.4,1,1,Sensor,62333
SB,2,0,41.317426,-93.779496,IWZ3073 - I-35 SB @ MM 53.63,1.96,5b,Group 5b and 5.4,2,53.63,1,Project 5b/5.4,1,0,Sensor,62333
NB,1,0,41.327493,-93.77969,IWZ 3520 NB,1.95,5b,Group 5b and 5.4,3,54,2,Project 5b/5.4,1,0,Sensor,62993
SB,2,0,41.327503,-93.780417,IWZ 3520 SB,1.95,5b,Group 5b and 5.4,4,54,2,Project 5b/5.4,1,1,Sensor,62992
NB,1,0,41.346667,-93.779167,IWZ 3063 NB,1,5b,Group 5b and 5.4,5,54.9,3,Project 5b/5.4,1,0,Sensor,64313
SB,2,0,41.346661,-93.779403,IWZ 3063 SB,1,5b,Group 5b and 5.4,6,54.9,3,Project 5b/5.4,1,1,Sensor,64313
NB,1,0,41.361938,-93.780089,IWZ 3084 NB,0.55,5b,Group 5b and 5.4,7,56,4,Project 5b/5.4,1,0,Sensor,65632
SB,2,0,41.361929,-93.780318,IWZ 3084 SB,0.55,5b,Group 5b and 5.4,8,56,4,Project 5b/5.4,1,1,Sensor,65632
NB,1,0,41.373877,-93.780449,IWZ629 - I-35 NB @ MM 57.55,2.585,5b,Group 5b and 5.4,9,57.55,5,Project 5b/5.4,1,0,Sensor,66292
